Country,Province/State (if applicable),English name,FEATURES FOR REVERSE INDEX,Short Bilingual name ( Button Box name),Full Bilingual name,Japanese Title,Type,City (if applicable and lots of instances),Video file name (all mp4),Notes,Upload date,Source,
Austria,,Austria,Austria,Austria / L'Autriche,"Images, Austria / Images de l'Autriche",,Images,,AT - AUSTRIA IMAGES,,04/05/2022,David - Flickr Creative Commons,
Canada,Alberta,Banff,"Canada, Alberta, Banff, Rockies, Rocky Mountains, nature, trees, town, streets, bicycles, summer",Banff,"Banff, Alberta",,Walk,Banff,CA - AB - BANFF ALBERTA,,22/11/2023,Alyssa,
Canada,Alberta,Lake Louise,"Canada, Alberta, Lake Louise, Lake, mountains, Rockies, Rocky Mountains, nature, hike, trees, forests, summer",Lake Louise,"Lake Louise, Alberta",,Walk,,CA - AB - LAKE LOUISE,,22/11/2023,Alyssa,
Canada,Alberta,Moraine Lake,"Canada, Alberta, Moraine Lake, mountains, Rockies, Rocky Mountains, nature, hike, trees, forests, canoes, summer",Moraine Lake,"Moraine Lake, Alberta",,Walk,,CA - AB - MORAINE LAKE,,22/11/2023,Alyssa,
Canada,Alberta,Tunnel Mountain Trail,"Canada, Alberta, Tunnel Mountain, Rockies, Rocky Mountains, nature, trees, forest, trail, hike, summer",Tunnel Mountain Trail,"Tunnel Mountain Trail, Banff, Alberta",,Walk,,CA - AB - TUNNEL MOUNTAIN TRAIL,,22/11/2023,Alyssa,
Canada,All/Mixed,"Eastern Canada, Montreal & Toronto","Canada, Atlantic, Montreal, Toronto",Eastern Canada / L'Est du Canada,"Atlantic Canada, and also / et aussi, Montreal & Toronto",,Images,,CA - EASTERN CANADA IMAGES,,04/05/2022,Juhie sourced photos & video & Flickr Creative Commons,
Canada,All/Mixed,Hiking Trails,"Canada, Nature, Hiking trails",Trails / Sentiers,Hiking Trails / Sentiers de randonnée,,Images,,CA - HIKING TRAILS,,04/05/2022,Juhie's Brother's photos & Flickr Creative Commons,
Canada,BC,Granville Island,"Canada, B.C., Vancouver, Granville Island, Waterfront, pier, boardwalk, marina, boats, summer",Granville Island,"Granville Island, Vancouver, British Columbia / L'île Granville, Vancouver, la Colombie-Britannique",,Walk,Vancouver,CA - BC - GRANVILLE ISLAND,29,04/05/2022,Isaac,
Canada,BC,Stanley Park 1,"Canada, B.C., Vancouver, Stanley Park, walk, trail, bicycles, trees",Stanley Park 1,"Stanley Park 1, Vancouver, British Columbia / le parc Stanley n.1, Vancouver, Columbie-Britannique",,Walk,Vancouver,CA - BC - STANLEY PARK 1,12,04/05/2022,Isaac,
Canada,BC,Stanley Park 2,"Canada, B.C., Vancouver, Stanley Park, walk, trail, bicycles, trees",Stanley Park 2,"Stanley Park 2, Vancouver, British Columbia / le parc Stanley n.2, Vancouver, Columbie-Britannique",,Walk,Vancouver,CA - BC - STANLEY PARK 2,13,04/05/2022,Isaac,
